pmid,issn,name,year,doi,pmcid,title
10725557,1873-2259,Plant Sci.,2000,,,Molecular cloning of a novel water channel from rice: its products expression in Xenopus oocytes and involvement in chilling tolerance.
10759498,0032-0889,Plant Physiol.,2000,,PMC58937,Plasma membrane intrinsic proteins from maize cluster in two sequence subgroups with differential aquaporin activity.
12795699,0960-7412,Plant J.,2003,,,Sodium transport and HKT transporters: the rice model.
14701934,0032-0781,Plant Cell Physiol.,2003,,,Diurnal regulation of water transport and aquaporin gene expression in maize roots: contribution of PIP2 proteins.
15111723,0032-0781,Plant Cell Physiol.,2004,,,The role of aquaporin RWC3 in drought avoidance in rice.
16258014,0032-0889,Plant Physiol.,2005,10.1104/pp.105.067553,PMC1283784,HKT1 mediates sodium uniport in roots. Pitfalls in the expression of HKT1 in yeast.
16541126,1001-0602,Cell Res.,2006,10.1038/sj.cr.7310035,,Expression and functional analysis of the rice plasma-membrane intrinsic protein gene family.
17322337,0032-0889,Plant Physiol.,2007,10.1104/pp.106.093476,PMC1851807,"HKT1;5-like cation transporters linked to Na+ exclusion loci in wheat, Nax2 and Kna1."
17452999,1748-7838,Cell Res.,2007,10.1038/cr.2007.34,,The role of water channel proteins and nitric oxide signaling in rice seed germination.
18557835,1365-313X,Plant J.,2008,10.1111/j.1365-313X.2008.03578.x,,A proteomic and phosphoproteomic analysis of Oryza sativa plasma membrane and vacuolar membrane.
21441236,1471-9053,Plant Cell Physiol.,2011,10.1093/pcp/pcr027,,Mechanisms of water transport mediated by PIP aquaporins and their regulation via phosphorylation events under salinity stress in barley roots.
21610181,1532-2548,Plant Physiol.,2011,10.1104/pp.110.168047,PMC3135959,K+ transport by the OsHKT2;4 transporter from rice with atypical Na+ transport properties and competition in permeation of K+ over Mg2+ and Ca2+ ions.
21737414,1460-2431,J. Exp. Bot.,2011,10.1093/jxb/err175,PMC3153690,Developmental pattern of aquaporin expression in barley (Hordeum vulgare L.) leaves.
22350764,1573-9368,Transgenic Res.,2012,10.1007/s11248-012-9600-8,,Members of rice plasma membrane intrinsic proteins subfamily are involved in arsenite permeability and tolerance in plants.
22773759,1532-2548,Plant Physiol.,2012,10.1104/pp.112.194936,PMC3440223,The rice monovalent cation transporter OsHKT2;4: revisited ionic selectivity.
22942383,1532-298X,Plant Cell,2012,10.1105/tpc.112.101758,PMC3462644,Selective regulation of maize plasma membrane aquaporin trafficking and activity by the SNARE SYP121.
23073013,1559-2324,Plant Signal Behav,2012,10.4161/psb.22294,PMC3578906,Functional characterization of a novel plasma membrane intrinsic protein2 in barley.
23285044,1932-6203,PLoS ONE,2012,10.1371/journal.pone.0052439,PMC3527513,"Overexpression of the wheat aquaporin gene, TaAQP7, enhances drought tolerance in transgenic tobacco."
24406630,1471-9053,Plant Cell Physiol.,2014,10.1093/pcp/pcu003,PMC3913445,CO2 transport by PIP2 aquaporins of barley.
24989232,1532-2548,Plant Physiol.,2014,10.1104/pp.114.240945,PMC4149701,A new LxxxA motif in the transmembrane Helix3 of maize aquaporins belonging to the plasma membrane intrinsic protein PIP2 group is required for their trafficking to the plasma membrane.
25082269,1573-5028,Plant Mol. Biol.,2014,10.1007/s11103-014-0232-7,,Expression and characterization of plasma membrane aquaporins in stomatal complexes of Zea mays.
25158883,1365-313X,Plant J.,2014,10.1111/tpj.12651,,"The Na(+) transporter, TaHKT1;5-D, limits shoot Na(+) accumulation in bread wheat."
25750424,1460-2431,J. Exp. Bot.,2015,10.1093/jxb/erv069,PMC4986874,Identification of rice cornichon as a possible cargo receptor for the Golgi-localized sodium transporter OsHKT1;3.
25991736,1532-2548,Plant Physiol.,2015,10.1104/pp.15.00298,PMC4741328,The Rice High-Affinity Potassium Transporter1;1 Is Involved in Salt Tolerance and Regulated by an MYB-Type Transcription Factor.
26382720,1399-3054,Physiol Plant,2015,10.1111/ppl.12387,,Aquaporin plays an important role in mediating chloroplastic CO
